ID,Gender,Age,ZIP Code,Education,Experience,Family,Income,CCAvg,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan,,Income,Bin Size,Frequency table for INCOME column,,,,,CCAvg,Bin Size,Frequency table for CCAvg column,,,,,,Experience,Bin Size,Frequency table for EXPERIENCE column,,,,
A_1,F,33,92354,1,8,2,175,6.7,102,0,0,1,0,0,,205,10,,Bin Interval,Frequency,Relative Frequency,,10,2,,Bin Interval,Frequency,Relative Frequency,,,43,8.6,,Bin Interval,Frequency,Relative Frequency,
A_2,F,25,94720,3,-1,4,101,2.3,256,0,0,0,1,0,,204,,18,8-18,111,0.0555,,10,,,0-2,1302,0.651,,,42,,,0-8.6,366,0.183,
A_3,F,41,92037,3,16,1,104,1,0,0,0,1,0,0,,203,,29,19-29,216,0.108,,8.8,,,2.1-4,452,0.226,,,42,,,8.7-17.3,452,0.226,
A_4,F,40,94002,3,16,4,155,0.1,0,0,1,1,1,1,,201,,40,30-40,248,0.124,,8.8,,,4.1-6,148,0.074,,,41,,,17.4-26,503,0.2515,
A_5,F,43,95747,1,18,1,58,2.4,0,0,0,0,0,0,,201,,51,41-51,203,0.1015,,8.8,,,6.1-8,84,0.042,,,41,,,26.1-34.7,412,0.206,
A_6,M,36,94608,2,10,4,80,2.2,0,0,0,1,0,0,,201,,62,52-62,189,0.0945,,8.8,,,8.1-10,14,0.007,,,41,,,34.8-43.4,267,0.1335,
A_7,M,57,94117,3,33,1,45,1.8,195,0,0,0,0,0,,201,,73,63-73,160,0.08,,8.6,,,,2000,1,,,41,,,,2000,1,
A_8,F,34,94550,1,9,1,134,4.6,164,1,0,1,0,0,,200,,84,74-84,206,0.103,,8.6,,,,,,,,41,,,,,,
A_9,M,38,91709,3,14,4,58,2,153,1,0,0,0,0,,198,,95,85-95,125,0.0625,,8.6,,Histogram for CCAvg column,,,,,,41,,Histogram for EXPERIENCE column,,,,
A_10,M,47,94066,1,21,1,20,0.2,0,0,0,1,1,0,,198,,106,96-106,74,0.037,,8.5,,,,,,,,41,,,,,,
A_11,F,39,90304,3,13,4,25,1.5,0,0,0,1,0,0,,198,,117,107-117,89,0.0445,,8.3,,,,,,,,41,,,,,,
A_12,F,45,94588,1,20,1,55,0.3,0,0,0,1,1,0,,195,,128,118-128,73,0.0365,,8.2,,,,,,,,41,,,,,,
A_13,M,62,93943,1,37,1,155,1.3,0,0,0,0,0,0,,195,,139,129-139,61,0.0305,,8.1,,,,,,,,41,,,,,,
A_14,M,59,92084,1,34,1,30,1.3,0,0,0,1,1,0,,195,,150,140-150,50,0.025,,8.1,,,,,,,,41,,,,,,
A_15,M,61,92096,1,37,4,39,0.4,0,0,0,1,1,0,,195,,161,151-161,58,0.029,,8,,,,,,,,41,,,,,,
A_16,F,36,95617,3,12,4,73,2,188,0,0,1,0,0,,195,,172,162-172,38,0.019,,8,,,,,,,,41,,,,,,
A_17,F,58,94608,1,34,4,41,1.3,0,0,0,1,0,0,,194,,183,173-183,49,0.0245,,8,,,,,,,,41,,,,,,
A_18,F,55,95820,3,30,4,34,0.1,157,0,0,1,0,0,,193,,194,184-194,34,0.017,,8,,,,,,,,41,,,,,,
A_19,M,29,90601,3,5,3,21,0.9,119,0,0,0,0,0,,193,,205,195-205,16,0.008,,8,,,,,,,,41,,,,,,
A_20,M,34,91320,1,8,4,11,0.3,0,1,1,1,1,0,,192,,,,2000,1,,8,,,,,,,,40,,,,,,
A_21,M,61,92704,1,35,2,154,6.9,0,0,0,0,0,0,,192,,,,,,,8,,,,,,,,40,,,,,,
A_22,M,50,92612,3,20,4,19,0.4,0,0,0,0,0,0,,192,,HISTOGRAM for INCOME column,,,,,7.9,,,,,,,,40,,,,,,
A_23,M,52,93407,2,26,2,101,2.4,0,0,0,1,0,0,,191,,,,,,,7.9,,,,,,,,40,,,,,,
A_24,M,39,92123,1,15,1,24,1,116,0,0,1,1,0,,191,,,,,,,7.8,,,,,,,,40,,,,,,
A_25,F,55,92675,1,29,2,131,2.7,0,1,0,0,0,0,,191,,,,,,,7.8,,,,,,,,40,,,,,,
A_26,F,33,95136,1,9,1,105,4,0,0,0,1,0,0,,191,,,,,,,7.8,,,,,,,,40,,,,,,
A_27,M,47,94720,2,21,1,52,1.2,194,0,0,0,0,0,,191,,,,,,,7.8,,,,,,,,40,,,,,,
A_28,M,57,92037,2,32,4,21,0.9,113,1,0,0,0,0,,191,,,,,,,7.6,,,,,,,,40,,,,,,
