ID,ZIP Code,Gender,Age,Education,Experience,Family,Income,CCAvg,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
A_1385,94110,F,64,3,40,2,8,0.3,0,0,0,1,0,0
A_827,92104,M,64,3,39,3,8,0.1,87,0,0,0,1,0
A_728,94618,F,63,2,37,1,8,0.8,97,0,0,1,0,0
A_200,95060,F,52,1,28,1,8,0.3,0,0,0,1,0,0
A_1175,94960,M,40,2,15,2,8,0.1,0,0,0,0,0,0
A_989,93401,F,36,3,11,4,8,0.2,81,0,0,0,1,0
A_834,94043,M,35,2,9,1,8,0.4,0,0,0,1,0,0
A_1071,95131,M,31,2,7,4,8,0.7,0,0,0,0,0,0
A_250,91320,M,62,1,37,1,9,0.1,94,0,0,0,0,0
A_1734,93907,M,61,3,37,2,9,0.3,0,0,0,1,0,0
A_1026,91911,M,50,1,25,2,9,0,0,1,0,0,0,0
A_778,92630,M,48,2,24,4,9,0.5,0,0,0,0,1,0
A_251,95023,M,46,3,21,2,9,0.7,0,0,0,1,0,0
A_1078,94005,F,46,1,20,1,9,0.2,0,0,0,1,0,0
A_508,91710,F,42,3,17,2,9,0,0,0,0,0,0,0
A_698,92634,F,38,2,13,2,9,0.3,0,0,0,0,0,0
A_297,94604,F,36,3,11,4,9,0.2,0,0,0,0,1,0
A_744,93106,F,35,2,11,4,9,0.7,0,0,0,1,0,0
A_1890,90230,F,36,3,11,4,9,0.2,0,0,0,1,0,0
A_668,92037,F,29,3,4,4,9,0.5,86,0,0,1,1,0
A_603,95014,F,28,2,2,1,9,0.1,0,0,0,1,0,0
A_1299,90095,M,63,1,37,2,10,0.4,0,0,0,1,0,0
A_286,90740,M,61,1,36,1,10,0.1,0,0,0,0,0,0
A_380,91365,F,61,2,36,4,10,0.4,0,0,0,1,0,0
A_999,92121,F,60,1,36,2,10,1,0,0,0,1,1,0
A_579,90095,F,53,1,29,2,10,0.4,0,0,0,0,0,0
A_1224,92121,F,51,1,27,2,10,0.2,86,0,0,0,0,0
A_1054,92037,F,45,2,18,3,10,0.67,100,0,0,1,0,0
A_1149,91902,M,43,2,18,2,10,0.1,0,1,0,0,1,0
A_1045,94708,M,40,3,15,2,10,0,102,0,0,1,0,0
A_1609,92705,M,39,2,14,2,10,0.3,0,1,0,0,1,0
A_886,92354,F,31,3,7,1,10,0.5,81,0,0,1,0,0
A_77,92325,M,66,3,41,3,11,0.1,0,1,0,0,1,0
A_1487,91711,M,63,2,37,1,11,0.8,102,0,0,0,1,0
A_612,94949,F,59,1,35,2,11,1,0,0,0,0,1,0
A_1816,94305,M,60,3,34,4,11,0.7,0,0,0,1,0,0
A_1778,94110,M,56,1,32,2,11,0.3,89,0,0,0,0,0
A_453,92192,M,47,1,22,2,11,0,78,0,0,0,0,0
A_895,94143,M,45,1,21,4,11,0.2,106,0,0,1,1,0
A_459,91330,F,41,1,17,1,11,1,0,0,0,0,0,0
A_20,91320,M,34,1,8,4,11,0.3,0,1,1,1,1,0
A_291,94534,M,28,3,3,4,11,0.5,0,0,0,0,0,0
A_833,93023,M,61,2,36,4,12,0.6,0,0,0,1,1,0
A_1216,95621,M,53,1,29,1,12,0.3,0,0,0,0,0,0
A_1403,91007,M,51,1,27,2,12,0.2,0,0,0,0,0,0
A_1971,92697,M,51,1,27,2,12,0.4,0,0,0,0,1,0
A_188,90250,M,46,3,20,4,12,0.6,0,0,0,0,1,0
A_1663,94542,F,44,2,17,3,12,0.67,0,0,0,1,0,0
A_1314,90033,M,40,1,16,1,12,1,91,1,0,0,0,0
A_60,92093,F,39,3,14,2,12,0,0,0,0,0,0,0
A_58,94143,M,38,2,13,2,12,0.3,104,1,0,1,0,0
A_1905,91605,F,23,1,-1,4,12,1,90,0,0,1,0,0
A_548,90024,F,61,3,37,2,13,0.3,0,0,0,1,0,0
A_1617,91711,M,61,1,36,3,13,0.5,0,0,0,1,0,0
A_885,94588,M,57,2,32,4,13,0.9,78,1,0,1,0,0
A_736,94305,F,56,2,31,4,13,0.9,76,0,1,1,1,0
A_1243,93943,M,55,1,31,4,13,0.7,0,0,0,1,0,0
A_1955,92037,F,54,1,30,1,13,0.3,0,0,0,0,0,0
